institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0357,,그랜드코리아레저(주),그랜드코리아레저,그랜드코리아레저,,공기업(준시장형),문화예술외교법무,,
C0383,,극지연구소,극지연구소,,,기타공공기관,연구교육,,
C0035,,근로복지공단,근로복지공단,,,준정부기관(기금관리형),고용보건복지,,
C0038,,기술보증기금,기술보증기금,,,준정부기관(기금관리형),금융,,
C0856,,기초과학연구원,기초과학연구원,,,기타공공기관,연구교육,,
C0173,,노사발전재단,노사발전재단,,,기타공공기관,고용보건복지,,
C0860,,농림수산식품교육문화정보원,농림수산식품교육문화정보원,,,기타공공기관,농림수산환경,,
C0404,,농림식품기술기획평가원,농림식품기술기획평가원,,,기타공공기관,농림수산환경,,
C0542,,농업정책보험금융원,농업정책보험금융원,,,기타공공기관,금융,,
C0894,,대구경북첨단의료산업진흥재단,대구경북첨단의료산업진흥재단,,,기타공공기관,연구교육,,
C0051,,대외경제정책연구원,대외경제정책연구원,,,기타공공기관,연구교육,,
C0054,,대한무역투자진흥공사,대한무역투자진흥공사,,,준정부기관(위탁집행형),산업진흥정보화,,
C0055,,대한법률구조공단,대한법률구조공단,,,기타공공기관,문화예술외교법무,,
C0057,,대한석탄공사,대한석탄공사,,,기타공공기관,에너지,,
C0315,,대한장애인체육회,대한장애인체육회,,,기타공공기관,기타,,
C0059,,대한적십자사,대한적십자사,,,기타공공기관,고용보건복지,,
C0063,,대한체육회,대한체육회,,,기타공공기관,문화예술외교법무,,
C0065,,독립기념관,독립기념관,,,기타공공기관,문화예술외교법무,,
C0448,,동남권원자력의학원,동남권원자력의학원,,,기타공공기관,기타,,
C0358,,동북아역사재단,동북아역사재단,,,기타공공기관,연구교육,,
C0367,,무역안보관리원,무역안보관리원,,,기타공공기관,기타,,
C0068,,민주화운동기념사업회,민주화운동기념사업회,,,기타공공기관,기타,,
C0071,,부산대학교병원,부산대학교병원,대병원|부산대병원,,기타공공기관,고용보건복지,,
C0853,,부산대학교치과병원,부산대학교치과병원,,,기타공공기관,고용보건복지,,
C0072,,부산항만공사,부산항만공사,,,기타공공기관,SOC,,
C0449,,북한이탈주민지원재단,북한이탈주민지원재단,,,기타공공기관,문화예술외교법무,,
C0444,,분당서울대학교병원,분당서울대학교병원,대병원|분당서울대병원,,기타공공기관,연구교육,,
