institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0392,,한국지능정보사회진흥원,한국지능정보사회진흥원,,,준정부기관(위탁집행형),산업진흥정보화,,
C0416,,한국지식재산보호원,한국지식재산보호원,,,기타공공기관,기타,,
C0407,,한국지식재산연구원,한국지식재산연구원,,,기타공공기관,기타,,
C0261,,한국지역난방공사,한국지역난방공사,,,공기업(시장형),에너지,,
C0264,,한국직업능력연구원,한국직업능력연구원,,,기타공공기관,연구교육,,
C0268,,한국철도공사,한국철도공사,,,공기업(준시장형),SOC,,
C0278,,한국청소년상담복지개발원,한국청소년상담복지개발원,,,기타공공기관,연구교육,,
C0276,,한국청소년정책연구원,한국청소년정책연구원,,,기타공공기관,연구교육,,
C0447,,한국청소년활동진흥원,한국청소년활동진흥원,,,기타공공기관,연구교육,,
C0280,,한국체육산업개발(주),한국체육산업개발,한국체육산업개발,,기타공공기관,기타,,
C0149,,한국출판문화산업진흥원,한국출판문화산업진흥원,,,기타공공기관,문화예술외교법무,,
C1386,,한국치산기술협회,한국치산기술협회,,,기타공공기관,기타,,
C0395,,한국콘텐츠진흥원,한국콘텐츠진흥원,,,기타공공기관,산업진흥정보화,,
C1368,,한국탄소산업진흥원,한국탄소산업진흥원,,,기타공공기관,산업진흥정보화,,
C0396,,한국토지주택공사,한국토지주택공사,LH,,공기업(준시장형),SOC,,
C0284,,한국투자공사,한국투자공사,,,기타공공기관,금융,,
C0858,,한국특허기술진흥원,한국특허기술진흥원,,,기타공공기관,기타,,
C0899,,한국특허전략개발원,한국특허전략개발원,,,기타공공기관,기타,,
C0340,,한국특허정보원,한국특허정보원,,,기타공공기관,산업진흥정보화,,
C0290,,한국학중앙연구원,한국학중앙연구원,,,기타공공기관,연구교육,,
C1053,,한국한의약진흥원,한국한의약진흥원,,,기타공공기관,고용보건복지,,
C0373,,한국항로표지기술원,한국항로표지기술원,,,기타공공기관,연구교육,,
C0297,,한국해양과학기술원,한국해양과학기술원,,,기타공공기관,연구교육,,
C0087,,한국해양교통안전공단,한국해양교통안전공단,,,준정부기관(위탁집행형),산업진흥정보화,,
C0295,,한국해양수산개발원,한국해양수산개발원,,,기타공공기관,연구교육,,
C0296,,한국해양수산연수원,한국해양수산연수원,,,기타공공기관,연구교육,,
C0654,,한국해양조사협회,한국해양조사협회,,,기타공공기관,농림수산환경,,
C1119,,한국해양진흥공사,한국해양진흥공사,,,기타공공기관,농림수산환경,,
C1131,,한국해외인프라도시개발지원공사,한국해외인프라도시개발지원공사,,,기타공공기관,기타,,
C0298,,한국행정연구원,한국행정연구원,,,기타공공기관,연구교육,,
C0299,,한국형사·법무정책연구원,한국형사·법무정책연구원,,,기타공공기관,연구교육,,
C0400,,한국환경공단,한국환경공단,,,준정부기관(위탁집행형),농림수산환경,,
C1062,,한국환경보전원,한국환경보전원,,,기타공공기관,농림수산환경,,
C0391,,한국환경산업기술원,한국환경산업기술원,,,준정부기관(위탁집행형),농림수산환경,,
C0302,,한국환경연구원,한국환경연구원,,,기타공공기관,연구교육,,
C0920,,한식진흥원,한식진흥원,,,기타공공기관,문화예술외교법무,,
C0306,,한전KDN,한전kdn,,,공기업(준시장형),에너지,,
C0305,,한전KPS(주),한전kps,한전KPS,,공기업(준시장형),에너지,,
C1352,,한전MCS(주),한전mcs,한전MCS,,기타공공기관,기타,,
C0236,,한전원자력연료주식회사,한전원자력연료,,,기타공공기관,에너지,,
C0900,,항공안전기술원,항공안전기술원,,,기타공공기관,기타,,
C0374,,해양수산과학기술진흥원,해양수산과학기술진흥원,,,기타공공기관,연구교육,,
C0533,,해양환경공단,해양환경공단,,,공기업(준시장형),농림수산환경,,
