institution_code,institution_name
C0124,주택관리공단(주)
C0061,주택도시보증공사
C0129,중소기업기술정보진흥원
C0126,한국중소벤처기업유통원
C0127,중소기업은행
C0130,중소벤처기업진흥공단
C0451,창업진흥원
C0134,축산물품질평가원
C0135,충남대학교병원
C0136,충북대학교병원
C0314,코레일관광개발(주)
C0327,코레일네트웍스(주)
C0140,코레일로지스(주)
C0272,코레일유통(주)
C0387,코레일테크(주)
C0409,태권도진흥재단
C0141,통일연구원
C0144,학교법인한국폴리텍
C0147,한국가스공사
C0148,한국가스안전공사
C0150,한국부동산원
C0151,한국개발연구원
C0845,한국건강가정진흥원
C0854,한국건강증진개발원
C0154,한국건설기술연구원
C0321,한국고용정보원
C0067,한국고전번역원
C0452,한국공예디자인문화진흥원
C0655,한국공정거래조정원
C0157,한국공항공사
C0158,한국과학기술기획평가원
C0159,한국과학기술연구원
C0160,한국과학기술원
C0161,한국과학기술정보연구원
C0163,한국과학창의재단
C0165,한국관광공사
C0053,한국광물자원공사(21.09.10 해산)
C0086,한국광해관리공단(21.09.10 해산)
C0167,한국교육개발원
C0168,한국교육과정평가원
C0145,한국교육학술정보원
C0019,한국교통안전공단
C0170,한국교통연구원
C0171,한국국방연구원
C0172,한국국제교류재단
C0379,한국국제보건의료재단
C0146,한국국제협력단
C0062,한국국토정보공사
C0174,한국기계연구원
C0864,한국기상산업기술원
C0175,한국기술교육대학교
C0177,한국기초과학지원연구원
C0631,한국나노기술원
C0042,한국남동발전(주)
C0043,한국남부발전(주)
C0179,한국노동연구원
C0378,한국노인인력개발원
C0045,한국농수산식품유통공사
C0046,한국농어촌공사
C0181,한국농촌경제연구원
C0527,한국데이터산업진흥원
C0183,한국도로공사
C0922,한국도박문제예방치유원
C0066,한국동서발전(주)
C0184,한국디자인진흥원
C0450,한국로봇산업진흥원
C0185,한국마사회
C0222,한국무역보험공사
C0188,한국문학번역원
C0189,한국문화관광연구원
C0320,한국문화예술교육진흥원
C0190,한국문화예술위원회
C0191,국가유산진흥원
C0663,한국문화정보원
C0192,한국문화진흥주식회사
C0348,한국발명진흥회
C0196,한국방송광고진흥공사
C0187,한국방송통신전파진흥원
C0152,한국법무보호복지공단
C0198,한국법제연구원
C0199,한국벤처투자
C0070,한국보건복지인재원
C0200,한국보건사회연구원
C1027,국방전직교육원
C0571,한국마약퇴치운동본부
C1060,(재)한국통계정보원
C1383,재외동포협력센터
C1386,한국치산기술협회
C1304,(재)한국보건의료정보원
C1364,한국광해광업공단
C1124,한국제품안전관리원
C1368,한국탄소산업진흥원
C0201,한국보건산업진흥원
C0662,한국보건의료연구원
C0202,한국보건의료인국가시험원
C0849,한국영유아보육·교육진흥원
C0203,한국보훈복지의료공단
C0205,한국사학진흥재단
C0377,한국사회복지협의회
C0456,한국사회적기업진흥원
C1055,한국산림복지진흥원
C0076,한국산업기술시험원
C0393,한국산업기술진흥원
C0397,한국산업기술기획평가원
C0208,한국산업단지공단
C0209,한국산업안전보건공단
C0210,한국산업은행
C0211,한국산업인력공단
C0620,한국상하수도협회
C0212,한국생명공학연구원
C0213,한국생산기술연구원
C0082,한국서부발전(주)
C0214,한국석유공사
C0215,한국석유관리원
C0103,한국세라믹기술원
C0217,한국소방산업기술원
C0218,한국소비자원
C0220,한국수력원자력(주)
C1107,한국수목원정원관리원
C0455,한국수산자원공단
C0221,한국수자원공사
C0847,(사)남북교류협력지원협회
C0918,아시아·태평양경제협력체 기후센터
C0916,한국원산지정보원
C0454,(재)예술경영지원센터
C0352,(재)우체국금융개발원
C0331,(재)우체국물류지원단
C0368,(재)우체국시설관리단
C0931,(재)일제강제동원피해자지원재단
C0116,(재)정동극장
C0884,중소벤처기업연구원
C0881,(재)한국스마트그리드사업단
C0354,(재)한국우편사업진흥원
C0919,(재)한국형수치예보모델개발사업단
C0920,한식진흥원
C0005,(주)강원랜드
C0840,수자원환경산업진흥(주)
C0125,(주)한국가스기술공사
C0153,(주)한국건설관리공사
C0001,88관광개발(주)
C0926,이민정책연구원
C0002,가축위생방역지원본부
C0003,강원대학교치과병원
C0004,강원대학교병원
C0006,건강보험심사평가원
C0672,건설근로자공제회
C0402,게임물관리위원회
C0008,경북대학교병원
C1031,경북대학교치과병원
C0009,경상국립대학교병원
C0010,경제인문사회연구회
C0013,공무원연금공단
C1038,과학기술사업화진흥원
C0017,과학기술정책연구원
C0018,광주과학기술원
C0909,국가과학기술연구회
C0410,국가평생교육진흥원
C0021,국립공원공단
C0923,국립광주과학관
C1018,국립낙동강생물자원관
C0924,국립대구과학관
C1331,스포츠윤리센터
C1362,국립아시아문화전당재단
C1367,한국생명존중희망재단
C1401,자동차손해배상진흥원
C1402,국방기술진흥연구소
C0553,전국재해구호협회
C0887,(재)한국통계진흥원
C1028,공간정보산업진흥원
C1335,한국물기술인증원
C1375,국립농업박물관
C1378,중앙사회서비스원
C1395,국립인천해양박물관
C1398,양육비이행관리원
C1399,가덕도신공항건설공단
C1400,한국관세정보원
C1410,한국스포츠레저(주)
